,id,probability,time,image_number,value,classifier,created_at,updated_at,clip_id
170,171,58.49052667617798,,34,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
171,172,71.71289920806885,,35,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
172,173,79.65801954269409,,36,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
173,174,69.7805643081665,,37,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
174,175,85.06799340248108,,10,"prison, prison house",image_classifier_mobilenet,2019-04-09 11:33:56,2019-04-09 11:33:56,
175,176,92.93863773345947,,21,"cinema, movie theater, movie theatre, movie house, picture palace",image_classifier_mobilenet,2019-04-09 11:33:56,2019-04-09 11:33:56,
176,177,70.16794681549072,,30,palace,image_classifier_mobilenet,2019-04-09 11:33:56,2019-04-09 11:33:56,
177,178,52.30276584625244,,40,"theater curtain, theatre curtain",image_classifier_mobilenet,2019-04-09 11:33:56,2019-04-09 11:33:56,
178,179,63.567930459976196,,41,"theater curtain, theatre curtain",image_classifier_mobilenet,2019-04-09 11:33:56,2019-04-09 11:33:56,
179,180,54.994940757751465,,7,steel arch bridge,image_classifier_mobilenet,2019-04-09 11:34:02,2019-04-09 11:34:02,
180,181,60.515326261520386,,44,palace,image_classifier_mobilenet,2019-04-09 11:34:02,2019-04-09 11:34:02,
181,182,60.33645272254944,,45,palace,image_classifier_mobilenet,2019-04-09 11:34:02,2019-04-09 11:34:02,
182,183,60.81588268280029,,50,"spider web, spider's web",image_classifier_mobilenet,2019-04-09 11:34:02,2019-04-09 11:34:02,
183,184,41.04939103126526,,5,"spider web, spider's web",image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
184,185,56.917887926101685,,8,"spider web, spider's web",image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
185,186,89.59531784057617,,9,"spider web, spider's web",image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
186,187,48.64991903305054,,10,"prison, prison house",image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
187,188,74.01987314224243,,23,"spotlight, spot",image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
188,189,91.13652110099792,,24,"spotlight, spot",image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
189,190,66.01847410202026,,26,matchstick,image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
190,191,55.89978098869324,,33,"spider web, spider's web",image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
191,192,60.930418968200684,,34,"spider web, spider's web",image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
192,193,56.148600578308105,,37,"spider web, spider's web",image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
193,194,89.47347402572632,,38,"spider web, spider's web",image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
194,195,75.02171397209167,,39,"spider web, spider's web",image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
195,196,53.474968671798706,,49,rifle,image_classifier_mobilenet,2019-04-10 07:29:04,2019-04-10 07:29:04,29.0
196,197,54.994940757751465,,7,steel arch bridge,image_classifier_mobilenet,2019-04-10 08:35:08,2019-04-10 08:35:08,31.0
197,198,49.706441164016724,,13,"web site, website, internet site, site",image_classifier_mobilenet,2019-04-10 08:35:08,2019-04-10 08:35:08,31.0
198,199,48.10808300971985,,11,"bannister, banister, balustrade, balusters, handrail",image_classifier_mobilenet,2019-04-10 08:35:08,2019-04-10 08:35:08,31.0
199,200,60.515326261520386,,44,palace,image_classifier_mobilenet,2019-04-10 08:35:08,2019-04-10 08:35:08,31.0
200,201,60.33645272254944,,45,palace,image_classifier_mobilenet,2019-04-10 08:35:08,2019-04-10 08:35:08,31.0
201,202,60.81588268280029,,50,"spider web, spider's web",image_classifier_mobilenet,2019-04-10 08:35:08,2019-04-10 08:35:08,31.0
202,203,62.0292067527771,,14,"suit, suit of clothes",image_classifier_mobilenet,2019-04-10 08:36:58,2019-04-10 08:36:58,32.0
203,204,90.39021730422974,,15,"fire screen, fireguard",image_classifier_mobilenet,2019-04-10 08:36:58,2019-04-10 08:36:58,32.0
204,205,77.81548500061035,,25,"fire screen, fireguard",image_classifier_mobilenet,2019-04-10 08:36:58,2019-04-10 08:36:58,32.0
205,206,69.35886740684509,,26,fountain,image_classifier_mobilenet,2019-04-10 08:36:58,2019-04-10 08:36:58,32.0
206,207,96.34770154953003,,28,fountain,image_classifier_mobilenet,2019-04-10 08:36:58,2019-04-10 08:36:58,32.0
207,208,80.98061084747314,,35,"prison, prison house",image_classifier_mobilenet,2019-04-10 08:36:58,2019-04-10 08:36:58,32.0
208,209,55.79496622085571,,37,abaya,image_classifier_mobilenet,2019-04-10 08:36:58,2019-04-10 08:36:58,32.0
209,210,44.26504969596863,,42,scoreboard,image_classifier_mobilenet,2019-04-10 08:36:58,2019-04-10 08:36:58,32.0
210,211,61.22031211853027,,49,shovel,image_classifier_mobilenet,2019-04-10 08:36:58,2019-04-10 08:36:58,32.0
211,212,85.06799340248108,,10,"prison, prison house",image_classifier_mobilenet,2019-04-10 08:38:35,2019-04-10 08:38:35,30.0
212,213,46.06402516365051,,17,"prison, prison house",image_classifier_mobilenet,2019-04-10 08:38:35,2019-04-10 08:38:35,30.0
213,214,40.07764458656311,,20,"cinema, movie theater, movie theatre, movie house, picture palace",image_classifier_mobilenet,2019-04-10 08:38:35,2019-04-10 08:38:35,30.0
214,215,92.93863773345947,,21,"cinema, movie theater, movie theatre, movie house, picture palace",image_classifier_mobilenet,2019-04-10 08:38:35,2019-04-10 08:38:35,30.0
215,216,70.16794681549072,,30,palace,image_classifier_mobilenet,2019-04-10 08:38:35,2019-04-10 08:38:35,30.0
216,217,52.30276584625244,,40,"theater curtain, theatre curtain",image_classifier_mobilenet,2019-04-10 08:38:35,2019-04-10 08:38:35,30.0
217,218,63.567930459976196,,41,"theater curtain, theatre curtain",image_classifier_mobilenet,2019-04-10 08:38:35,2019-04-10 08:38:35,30.0
218,219,59.1758131980896,,6,fountain,image_classifier_mobilenet,2019-04-10 08:39:09,2019-04-10 08:39:09,33.0
219,220,46.72272205352783,,7,fountain,image_classifier_mobilenet,2019-04-10 08:39:09,2019-04-10 08:39:09,33.0
220,221,63.513875007629395,,17,"beacon, lighthouse, beacon light, pharos",image_classifier_mobilenet,2019-04-10 08:39:09,2019-04-10 08:39:09,33.0
221,222,46.41278088092804,,18,"prison, prison house",image_classifier_mobilenet,2019-04-10 08:39:09,2019-04-10 08:39:09,33.0
